Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger
IMM	"[""IMMP"", ""IMM""]"	nACSRR1Bfa	2026-05-10 11:00:05	 IMMP SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Immutep Limited Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE		2026-05-10 11:00:05	0.1668	0.3266	0.5066	-0.1598	negative	NO:sentiment_score,Float
GOSS	"[""GOSS""]"	nACSxL5fDa	2026-05-10 11:00:05	Pomerantz LLP Issues Important Reminder to Investors in Gossamer Bio, Inc.  of Class Action Filing – GOSS	ACCESSWIRE	204.1	2026-05-10 11:00:05	0.2299	0.0663	0.7038	0.1637	positive	YES
GO	"[""GO""]"	nACSdW3BHa	2026-05-10 11:00:06	Class Action Lawsuit Reminder from Pomerantz LLP for Investors of Grocery Outlet Holding Corp.  – GO	ACCESSWIRE	90.72	2026-05-10 11:00:06	0.1628	0.108	0.7292	0.0548	positive	YES
LEE	"[""LEE""]"	nACSVgYfVa	2026-05-10 11:00:07	Bronstein, Gewirtz & Grossman, LLC Encourages Lee Enterprises, Inc. (LEE) Investors to Inquire about Securities Investigation	ACCESSWIRE	5.91	2026-05-10 11:00:07	0.0929	0.0257	0.8815	0.0672	positive	YES
BZAI	"[""BZAI""]"	nACS6nrMFa	2026-05-10 11:00:07	Bronstein, Gewirtz & Grossman, LLC Encourages Blaize Holdings, Inc. (BZAI) Investors to Inquire about Securities Investigation	ACCESSWIRE	83.57	2026-05-10 11:00:07	0.2122	0.0436	0.7441	0.1686	positive	YES
FTFT	"[""FTFT""]"	nACSsXq3Xa	2026-05-10 11:00:08	Bronstein, Gewirtz & Grossman, LLC Encourages Future FinTech Group Inc. (FTFT) Stockholders to Inquire about Securities Investigation	ACCESSWIRE	2.33	2026-05-10 11:00:08	0.1638	0.0412	0.795	0.1226	positive	YES
ATRA	"[""ATRA""]"	nACSM1R3ya	2026-05-10 11:00:09	Class Action Initiated by Pomerantz LLP Concerning Atara Biotherapeutics, Inc.  – ATRA	ACCESSWIRE	4.86	2026-05-10 11:00:09	0.1507	0.1283	0.721	0.0223	neutral	NO:sentiment_score
CMPX	"[""CMPX""]"	nACS2r8Rva	2026-05-10 11:00:09	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Compass Therapeutics, Inc. (CMPX) and Encourages Investors to Learn More About the Investigation	ACCESSWIRE	120.66	2026-05-10 11:00:09	0.2465	0.0793	0.6742	0.1671	positive	YES
GEMI	"[""GEMI""]"	nGNX2G1DJm	2026-05-10 11:37:00	"GEMI 8-DAY DEADLINE: Lawsuit Alleges IPO Documents Concealed Impending ""Corporate Pivot"" and Executive Turmoil - Gemini Space Station Investors Face Losses– Hagens Berman"	Globe Newswire	38.2	2026-05-10 11:37:00	0.0917	0.7528	0.1555	-0.661	negative	NO:sentiment_score
SES	"[""SES""]"	nGNX3ZNX9w	2026-05-10 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges SES AI Corporation Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	236.25	2026-05-10 12:00:00	0.1003	0.2767	0.6229	-0.1764	negative	NO:sentiment_score
ALDX	"[""ALDX""]"	nGNX85XwSl	2026-05-10 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges Aldeyra Therapeutics, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	55.6	2026-05-10 12:00:00	0.1553	0.2714	0.5732	-0.1161	negative	NO:sentiment_score
POET	"[""POET""]"	nGNX6LPlXJ	2026-05-10 12:00:00	Bronstein, Gewirtz & Grossman LLC Urges POET Technologies Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	90.52	2026-05-10 12:00:00	0.12	0.2472	0.6327	-0.1272	negative	NO:sentiment_score
GPK	"[""GPK""]"	nNFC4FnShp	2026-05-10 12:00:17	Bronstein, Gewirtz & Grossman LLC Urges Graphic Packaging Holding Company Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	291.17	2026-05-10 12:00:17	0.098	0.3096	0.5925	-0.2116	negative	NO:sentiment_score
GO	"[""GO""]"	nNFCWY2vy	2026-05-10 12:00:20	Bronstein, Gewirtz & Grossman LLC Urges Grocery Outlet Holding Corp. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	90.72	2026-05-10 12:00:20	0.1285	0.1922	0.6793	-0.0637	negative	NO:sentiment_score
CHOW	"[""CHOW""]"	nNFC1YDTXl	2026-05-10 12:00:21	Bronstein, Gewirtz & Grossman LLC Urges ChowChow Cloud International Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	10.64	2026-05-10 12:00:21	0.1333	0.3273	0.5394	-0.194	negative	NO:sentiment_score
FSK	"[""FSK""]"	nNFCcdG1nm	2026-05-10 12:00:23	Bronstein, Gewirtz & Grossman LLC Urges FS KKR Capital Corp. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	279.32	2026-05-10 12:00:23	0.1494	0.2462	0.6044	-0.0967	negative	NO:sentiment_score
UHG	"[""UHG""]"	nNFC3KvZxl	2026-05-10 12:00:23	Bronstein, Gewirtz & Grossman LLC Urges United Homes Group, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	11.21	2026-05-10 12:00:23	0.1505	0.2528	0.5966	-0.1023	negative	NO:sentiment_score
CWH	"[""CWH""]"	nNFC5cRZ44	2026-05-10 12:00:23	Bronstein, Gewirtz & Grossman LLC Urges Camping World Holdings, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	58.96	2026-05-10 12:00:23	0.1469	0.2723	0.5808	-0.1254	negative	NO:sentiment_score
SES	"[""SES""]"	nNFC97KywL	2026-05-10 12:10:16	ROSEN, A GLOBALLY RECOGNIZED LAW FIRM, Encourages SES AI Corporation Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - SES	Newsfile Corp	236.25	2026-05-10 12:10:16	0.2965	0.0357	0.6678	0.2608	positive	YES
NUAI	"[""NUAI""]"	nNFC79txTf	2026-05-10 12:18:20	NUAI SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds New Era Energy & Digital (NUAI) Investors of Securities Class Action Deadline on June 1, 2026	Newsfile Corp	73.85	2026-05-10 12:18:20	0.1196	0.1416	0.7388	-0.022	neutral	NO:sentiment_score
IMM	"[""IMMP"", ""IMM""]"	nGNX3B2cYH	2026-05-10 12:35:00	ROSEN, A TOP RANKED LAW FIRM, Encourages Immutep Ltd. Investors to Secure Counsel Before Important Deadline in Securities Class Action - IMMP	Globe Newswire		2026-05-10 12:35:00	0.2339	0.0243	0.7418	0.2097	positive	NO:Float
IMMP	"[""IMMP"", ""IMM""]"	nGNX3B2cYH	2026-05-10 12:35:00	ROSEN, A TOP RANKED LAW FIRM, Encourages Immutep Ltd. Investors to Secure Counsel Before Important Deadline in Securities Class Action - IMMP	Globe Newswire	146.13	2026-05-10 12:35:00	0.2339	0.0243	0.7418	0.2097	positive	YES
GOSS	"[""GOSS""]"	nNFCWKkP7	2026-05-10 12:56:17	GOSS SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds Gossamer Bio (GOSS) Investors of Securities Class Action Deadline on June 1, 2026	Newsfile Corp	204.1	2026-05-10 12:56:17	0.1054	0.1096	0.785	-0.0042	neutral	NO:sentiment_score
GPK	"[""GPK""]"	nNFCbwWDy6	2026-05-10 13:42:16	GPK SHAREHOLDER ACTION NOTICE: Faruqi & Faruqi, LLP Reminds Graphic Packaging (GPK) Investors of Securities Class Action Deadline on July 6, 2026	Newsfile Corp	291.17	2026-05-10 13:42:16	0.1031	0.0993	0.7976	0.0038	neutral	NO:sentiment_score
CHOW	"[""CHOW""]"	nNFC7r3sw5	2026-05-10 13:45:15	CHOW SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds ChowChow Cloud (CHOW) Investors of Securities Class Action Deadline on May 12, 2026	Newsfile Corp	10.64	2026-05-10 13:45:15	0.1036	0.1142	0.7823	-0.0106	neutral	NO:sentiment_score
CWH	"[""CWH""]"	nNFC1nDHy7	2026-05-10 13:55:17	CWH SHAREHOLDER REMINDER: Faruqi & Faruqi, LLP Reminds Camping World Holdings (CWH) Investors of Securities Class Action Deadline on May 11, 2026	Newsfile Corp	58.96	2026-05-10 13:55:17	0.1193	0.102	0.7787	0.0173	neutral	NO:sentiment_score
FFAI	"[""FFAI""]"	nBw9yjB8la	2026-05-10 15:00:00	Faraday Future Acknowledged and Appointed YT Jia as Sole Global CEO and Jerry Wang Appointed Global Executive Chairman; FF to Announce Upgraded Transformation Initiatives Next Week to Begin a New Growth Chapter as a Physical AI Company	Business Wire	230.83	2026-05-10 15:00:00	0.5526	0.0136	0.4338	0.5391	positive	YES
ADMA	"[""ADMA""]"	nGNX22jlSD	2026-05-10 15:02:00	ADMA Investor News: If You Have Suffered Losses in ADMA Biologics, Inc. (NASDAQ: ADMA), You Are Encouraged to Contact The Rosen Law Firm About Your Rights	Globe Newswire	224.61	2026-05-10 15:02:00	0.2044	0.0818	0.7138	0.1226	positive	YES
SES	"[""SES""]"	nGNX50gR1C	2026-05-10 16:49:00	ROSEN, LEADING TRIAL ATTORNEYS, Encourages SES AI Corporation Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm – SES	Globe Newswire	236.25	2026-05-10 16:49:00	0.2817	0.0506	0.6677	0.2311	positive	YES
MNDY	"[""MNDY"", ""6B6""]"	nACSjDkj2a	2026-05-10 18:00:00	Pomerantz LLP Notifies Shareholders of Class Action Against monday.com Ltd.  – MNDY	ACCESSWIRE	41.34	2026-05-10 18:00:01.060769	0.0797	0.1997	0.7206	-0.12	negative		2026-05-10 18:00:04.318829	3362.63	NO:sentiment_score
6B6	"[""MNDY"", ""6B6""]"	nACSjDkj2a	2026-05-10 18:00:00	Pomerantz LLP Notifies Shareholders of Class Action Against monday.com Ltd.  – MNDY	ACCESSWIRE		2026-05-10 18:00:01.059023	0.0797	0.1997	0.7206	-0.12	negative		2026-05-10 18:00:04.321191	3362.63	NO:sentiment_score,Float
GEMI	"[""GEMI""]"	nACSYq2Rxa	2026-05-10 18:00:02	Class Action Lawsuit Now Underway by Pomerantz LLP Against Gemini Space Station, Inc.  – GEMI	ACCESSWIRE	38.2	2026-05-10 18:00:02.465978	0.1418	0.1472	0.711	-0.0054	neutral	0.0609	2026-05-10 18:00:07.142369	4901.83	NO:sentiment_score
ATRA	"[""ATRA""]"	nACSc0twSa	2026-05-10 18:00:02	Class Action Litigation by Pomerantz LLP Filed Against Atara Biotherapeutics, Inc.  – ATRA	ACCESSWIRE	4.86	2026-05-10 18:00:02.591123	0.1074	0.1	0.7926	0.0074	neutral	-0.2668	2026-05-10 18:00:08.288101	3961.37	NO:sentiment_score
UHG	"[""UHG""]"	nACS7YFG2a	2026-05-10 18:00:03	Pomerantz LLP Issues Reminder to Shareholders in United Homes Group, Inc.  of Class Action Lawsuit – UHG	ACCESSWIRE	11.21	2026-05-10 18:00:03.317350	0.2191	0.1461	0.6348	0.073	positive		2026-05-10 18:00:08.900701	1754.76	NO:sentiment_score
FCHL	"[""FCHL""]"	nACS4tgQ8a	2026-05-10 18:00:03	Pomerantz LLP Informs Investors of Securities Class Action Filing Against Fitness Champs Holdings Ltd.  – FCHL	ACCESSWIRE	0.35	2026-05-10 18:00:04.096689	0.1408	0.1972	0.662	-0.0564	negative	-0.3453	2026-05-10 18:00:09.357568	1066.13	NO:sentiment_score
YOOV	"[""YOOV""]"	nGNX95M4cr	2026-05-10 19:31:00	ROSEN, A RANKED AND LEADING LAW FIRM, Encourages Concorde International Group Ltd. Investors to Secure Counsel Before Important May 20 Deadline in Securities Class Action – CIGL, YOOV	Globe Newswire	5.91	2026-05-10 19:31:00.223745	0.6373	0.047	0.3157	0.5902	positive	0.0706	2026-05-10 19:31:00.993616	840.97	NO:sentiment_score
ATRA	"[""ATRA""]"	nNFC9XD2SW	2026-05-10 19:31:30	ROSEN, A TOP RANKED LAW FIRM, Encourages Atara Biotherapeutics, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - ATRA	Newsfile Corp	4.86	2026-05-10 19:31:30.353601	0.3741	0.0358	0.5901	0.3383	positive	0.0863	2026-05-10 19:31:31.213790	919.88	NO:sentiment_score
GAIA	"[""GAIA""]"	nGNX9Ygtvr	2026-05-10 19:59:27	GAIA Investors Have Opportunity to Join Gaia, Inc. Fraud Investigation with the Schall Law Firm	Globe Newswire	17.79	2026-05-10 19:59:27.212828	0.1523	0.0179	0.8298	0.1344	positive	-0.053	2026-05-10 19:59:27.735200	595.0	NO:sentiment_score
RIO	"[""RIO""]"	nBw4yPclHa	2026-05-10 20:13:00	Yindjibarndi Energy Corporation reaches Financial Close on Jinbi Solar Project; signs Power Purchase Agreement with Rio Tinto	Business Wire	1250.0	2026-05-10 20:13:00.270668	0.7119	0.0446	0.2435	0.6673	positive		2026-05-10 20:13:01.723305	1508.68	NO:sentiment_score,Float
A11	"[""A11"", ""ELV""]"	nGNXbq7tF4	2026-05-10 21:37:35	Elevra Lithium Announces Agreement to Sell Ewoyaa Project Interest	Globe Newswire		2026-05-10 21:37:35.215081	0.1874	0.022	0.7907	0.1654	positive		2026-05-10 21:37:36.336028	1184.32	NO:sentiment_score,Float
ELV	"[""A11"", ""ELV""]"	nGNXbq7tF4	2026-05-10 21:37:35	Elevra Lithium Announces Agreement to Sell Ewoyaa Project Interest	Globe Newswire	216.5	2026-05-10 21:37:35.215110	0.1874	0.022	0.7907	0.1654	positive	0.3693	2026-05-10 21:37:36.336368	1184.32	NO:sentiment_score,Float
